[00000020] (8.04155, 4.29417) => 7721.18
[00000021] (4.16107, 5.98303) => 5066.7
[00000023] (3.81731, 2.13177) => 17.385
[00000024] (8.27454, 1.5079) => 24.2027
[00000026] (3.37589, 7.93275) => 15544.4
[00000029] (4.89502, 1.42082) => 9.5503
[00000030] (2.56167, 9.40592) => 6958.91
[00000032] (4.11163, 2.93863) => 63.7327
[00000035] (6.27586, 3.62976) => 785.889
[00000038] (7.00644, 7.08384) => 975810
[00000042] (5.78103, 4.25474) => 1746.35
[00000045] (8.00121, 3.7407) => 2390.19
[00000046] (5.97678, 3.62892) => 657.264
[00000049] (4.97482, 2.72872) => 79.6722
[00000052] (2.24083, 2.98706) => 11.1351
[00000055] (4.25452, 6.18376) => 7738.51
[00000058] (6.33396, 6.20306) => 93937
[00000061] (6.8464, 4.39243) => 4674.25
[00000062] (7.13788, 7.5534) => 2.80123e+06
[00000063] (1.1061, 5.20033) => 1.68941
[00000066] (7.49102, 7.89244) => 7.98474e+06
[00000069] (8.15067, 5.79779) => 191825
[00000074] (1.99789, 4.48377) => 22.2686
[00000077] (9.01926, 7.51459) => 1.50564e+07
[00000078] (6.45948, 9.36782) => 3.88853e+07
[00000080] (2.72063, 5.29446) => 200.143
[00000084] (3.78628, 6.02499) => 3045.98
[00000087] (6.40553, 4.18076) => 2355.14
[00000090] (5.16199, 7.31233) => 163063
[00000093] (1.48914, 6.83208) => 15.1882
[00000094] (7.53248, 4.1427) => 4294.3
[00000096] (9.92088, 1.80961) => 63.5874
[00000099] (4.61434, 6.98126) => 43283.5
[00000104] (5.40193, 7.63037) => 388702
[00000107] (5.09426, 4.17409) => 894.166
[00000111] (2.18517, 8.15461) => 586.645
[00000114] (4.39345, 3.91462) => 328.351
[00000117] (3.34369, 5.47958) => 745.663
[00000121] (6.76939, 2.29294) => 80.2423
[00000124] (2.54712, 8.71781) => 3466.27
[00000128] (7.03095, 9.10105) => 5.11343e+07
[00000131] (8.88236, 7.33903) => 9.14701e+06
[00000134] (3.37639, 9.09596) => 64089.2
[00000137] (9.46668, 1.82222) => 60.0957
[00000140] (5.31616, 4.88993) => 3532.83
[00000145] (5.95906, 7.07486) => 304983
[00000148] (6.71095, 4.33418) => 3832.01
[00000151] (2.34265, 6.07659) => 176.427
[00000154] (6.74277, 1.99362) => 44.9144
[00000157] (5.49408, 1.86421) => 23.9508
[00000158] (4.68665, 9.64671) => 2.96219e+06
[00000161] (2.70934, 9.85395) => 18425.5
[00000165] (9.66294, 2.17655) => 139.362
[00000168] (3.15411, 5.89849) => 876.24
[00000171] (2.78754, 8.21365) => 4538.24
[00000175] (9.33339, 5.48102) => 207400
[00000178] (9.05151, 4.35835) => 14781.6
[00000182] (2.94242, 3.85497) => 64.0979
[00000185] (2.13602, 7.20508) => 237.044
[00000189] (8.27687, 1.11814) => 10.6243
[00000190] (8.11552, 7.48986) => 6.46628e+06
[00000193] (2.41819, 5.72007) => 156.168
[00000196] (6.3085, 7.96212) => 2.33943e+06
[00000199] (1.36407, 7.22505) => 9.42347
[00000201] (4.33674, 1.95894) => 17.7078
[00000204] (3.35099, 5.19363) => 534.022
[00000209] (3.99756, 8.39119) => 112144
[00000212] (8.26149, 1.03023) => 8.80596
[00000215] (4.1066, 6.93963) => 18085.9
[00000219] (3.78855, 2.62556) => 33.0228
[00000223] (7.18946, 5.60461) => 63306.1
[00000226] (7.1169, 7.86681) => 5.06767e+06
[00000229] (3.64505, 5.93486) => 2155.9
[00000232] (2.49841, 2.27559) => 8.03373
[00000236] (1.29753, 4.62535) => 3.3359
[00000241] (2.29299, 9.28534) => 2220.52
[00000244] (8.07934, 9.32155) => 2.87173e+08
[00000247] (6.91411, 9.53294) => 1.01194e+08
[00000251] (6.93063, 8.51221) => 1.43494e+07
[00000255] (7.41791, 8.33568) => 1.79633e+07
[00000258] (8.97642, 5.5831) => 209541
[00000262] (2.66873, 3.10553) => 21.0815
[00000265] (2.5313, 4.13211) => 46.4154
[00000268] (3.65084, 2.84911) => 40.0239
[00000272] (5.5043, 2.16282) => 39.9953
[00000274] (5.05634, 3.52391) => 302.175
[00000277] (5.94948, 7.71344) => 941667
[00000281] (5.04995, 3.33741) => 222.413
[00000284] (1.01029, 5.09221) => 1.05353
[00000290] (5.42933, 1.86456) => 23.4411
[00000292] (3.88943, 6.85544) => 11064.3
[00000295] (4.12745, 8.09108) => 95836.5
[00000298] (9.52666, 2.45086) => 250.755
[00000301] (1.57404, 6.24491) => 16.9958
[00000302] (3.79229, 1.67759) => 9.3575
[00000305] (3.56956, 1.51146) => 6.8431
[00000309] (4.87474, 6.21144) => 18757.3
[00000310] (1.81346, 9.15291) => 232.323
[00000313] (1.21271, 9.73493) => 6.53705
[00000316] (4.47513, 8.09463) => 185369
[00000320] (1.44793, 3.09269) => 3.14157
[00000323] (6.90935, 7.0271) => 792149
[00000326] (8.04444, 5.85941) => 202149
[00000329] (8.99675, 4.30049) => 12677.5
[00000330] (1.24171, 1.25941) => 1.31344
[00000333] (4.12646, 9.59795) => 809632
[00000334] (1.35423, 4.58464) => 4.01571
[00000336] (1.83188, 4.54243) => 15.6382
[00000340] (4.61008, 7.99176) => 201464
[00000342] (8.14533, 2.01712) => 68.772
[00000346] (8.58601, 9.72509) => 1.20561e+09
[00000347] (5.56074, 7.54311) => 417460
[00000348] (5.896, 2.05593) => 38.3896
[00000351] (6.47796, 2.88537) => 219.432
[00000354] (6.17529, 2.41804) => 81.6278
[00000357] (8.82659, 3.04562) => 759.497
[00000360] (8.69987, 3.79286) => 3659.62
[00000363] (4.08214, 1.5436) => 8.76941
[00000364] (5.11269, 2.36028) => 47.0553
[00000366] (6.22827, 2.27624) => 64.2942
[00000369] (2.61287, 8.20596) => 2647.63
[00000372] (8.77575, 6.296) => 868798
[00000374] (4.42098, 5.54618) => 3803.31
[00000377] (6.64874, 6.31236) => 156111
[00000382] (6.10658, 1.18996) => 8.61123
[00000385] (8.61302, 2.68366) => 323.325
[00000388] (4.74135, 8.73138) => 797184
[00000390] (5.98579, 4.40786) => 2663.43
[00000393] (2.4439, 7.59503) => 886.152
[00000398] (9.28103, 8.1712) => 8.06159e+07
[00000402] (3.89162, 6.63588) => 8242.03
[00000406] (3.22352, 4.01811) => 110.289
[00000407] (9.85878, 1.5145) => 31.9996
